,ID,Hotel_Name,Address,State,Tel_No,Rating,Price,Latitude,Longitude
786,906,SRI INAI INN,"Jalan Haji Meor Yahya, 33300 Gerik",Perak,05-7911454,3,75,5.429643,101.123112
787,907,SRI LANGIT HOTEL SDN. BHD.,"NO. 2-10, JALAN 11, MEDAN 120, BANDAR BARU SALAK TINGGI, 43900 SEPANG",Selangor,03-8706 0818,3,117,2.8072742,101.7249789
788,908,SRI PERDANA HOTEL,"Lot 311, 312  313, Tmn Sri Perdana, Jalan Silam, 91110 Lahad Datu",Sabah,089-862444,3,134,5.024206,118.3307461
789,909,SRI SENAWANG HOTEL,"No 86, Jalan Orkid 2, Taman Senawang Indah, 70450 Senawang",Negeri Sembilan,06-6781222,3,122,2.6947395,101.9995593
790,910,SRI SEROJA INN,"Lot 700, Blok C, Jalan Wakaf Che Yeh, Pasar Awam Bersepadu, 15150 Kota Bharu",Kelantan,09-7416767,3,86,6.0904717,102.2304499
791,911,SS PALACE HOTEL,201 JALAN MUNSHI ABDULLAH 75100,Melaka,06-2825355,3,129,2.1978476,102.2552948
792,912,STARCITY HOTEL ALOR SETAR,"88, Jalan Pintu Sepuluh, 05150 Alor Setar",Kedah,04-735 5888,3,109,6.1259623,100.3652244
793,913,STARPOINTS HOTEL KUALA LUMPUR,"149, JALAN MASJID INDIA,51000 KUALA LUMPUR",Wilayah Persekutuan Kuala Lumpur,03-26981866,3,120,3.1541007,101.6975338
794,914,SUDARA BEACH RESORT,"Lot 128, Mukim Telong, Jalan Tok Bali, 16300 Bachok",Kelantan,09-7533544,3,108,5.89762,102.4740389
795,915,SUKAU RAINFOREST LODGE ,"Kg Sukau Kinabatangan , 88450 Kota Kinabalu ",Sabah,088-438 300,3,113,5.9774518,116.1477598
796,916,SUMAI HOTEL APARTMENT,"Lot 4479, Jalan Persinggahan 20400 Kuala Terengganu",Terengganu,09-6310099,3,139,5.3291015,103.1496607
797,917,SUMMERSET COLONIAL HOTEL  VILLAS,"Lot 2547, Kg. Semboyan, 26800 Rompin",Pahang,03-7873 7008,3,95,2.7401221,103.4974258
798,918,SUMMIT HOTEL KUALA LUMPUR CITY CENTRE,"Jalan Raja Laut, P.O. Box 11586, 50750 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2693 9233,3,135,3.1599073,101.6950319
799,919,SUNGAI PETANI INN,"427, Jalan Kolam, 08000 Sg. Petani",Kedah,04-421 3411,3,137,5.6439728,100.4860282
800,920,SUNSET HARBOUR BOTIK HOTEL,"Lot 125  126, Tingkat 1, 2  3, Phase 1E, Blok HS14, Harbour Square, 90000 Sandakan",Sabah,089-229875,3,55,5.8392864,118.1191722
801,921,SUNWAY LOST WORLD HOTEL,"No. 2, Persiaran Lagun Sunway 1, Sunway City Ipoh, 31150 Ipoh",Perak,05-540 8888,3,127,4.625022243,101.1538026
802,922,SURIA CITY HOTEL JOHOR BAHRU,"No. 10, Jalan Bukit Meldrum, 80300 Johor Bahru",Johor,07-223 1791,3,141,1.460842,103.7692609
803,923,SUTERA HOTEL,"77  78, Persiaran S2/52, Seremban 2, 70300 Seremban",Negeri Sembilan,06-601 3774,3,97,2.6993657,101.9155258
804,924,SUTERA INN PRIMA,"Jalan Dusun Muda, Off Jalan Bayam, 15200 Kota Bharu",Kelantan,09-7441000,3,58,6.121706,102.247174
805,925,SUTERA SANCTUARY LODGES,"Kinabalu Park, Locked Bag 179 ,88995 Kota Kinabalu",Sabah,088 - 889396,3,135,5.980408,116.0734568
806,926,SUTRA BEACH RESORT,"Kg.Rhu Tapai, Merang, 21010 Setiu",Terengganu,09-6531111,3,55,5.513375,102.9800048
807,927,SWAN GARDEN HOTEL MELAKA,"1, JLN KBS 1, TAMAN KOTA SYAHBANDAR,75200 MELAKA",Melaka,06-2880888,3,67,2.195248,102.235286
808,928,SWISS INN JOHOR BAHRU,"Lot 512 Jalan Syed Mohd Mufti 80000, Johor Bahru",Johor,60 7-218 3333,3,95,1.4610418,103.7591262
809,929,SWISS INN KUALA LUMPUR,"No.62, Jalan Sultan, 50000 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2072 3333,3,85,3.1436674,101.6984216
810,930,SWISS-INN SUNGAI PETANI,"No.1, Jalan Pahlawan, Tmn Pahlawan, 08000 Sg. Petani",Kedah,04-422 3333,3,111,5.6598607,100.4968311
811,931,T HOTEL,"No. 42, Jalan Bukit Bintang, 55100 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2691 0355,3,142,3.148326,101.714729
812,932,T HOTEL,"45, Persiaran Putra Timur 1 02000 Kuala Perlis ",Perlis,60 4-985 5888,3,70,6.3978485,100.12836
813,933,T+HOTEL ALOR SETAR,"No 888, Batu 2 1/2, Lebuhraya Sultan Abdul Halim, 05400 Kota Setar",Kedah,04-7712 888,3,86,6.0850213,100.3625531
814,934,TABIN WILDLIFE RESORT,"KM 49, Jalan Tungku, 91100 Lahad Datu",Sabah,088 267266,3,145,5.0340749,118.3502167
815,935,TAD MARINE RESORT,"Kampung Pasir Panjang, Pulau Tinggi, 86800 Mersing",Johor,03-80239009,3,138,2.30473,104.1175578
816,936,TAIPAN HOTEL,"No 26, Jalan KPKS 1, KOmpleks Perniagaan Kota Syahbandar 75200",Melaka,012-669 3699,3,137,2.1977106,102.2317104
817,937,TANAHMAS HOTEL,"Lot 277, Blok 5, Jalan Kampung Nyabor, 96000 Sibu",Sarawak,084-333188,3,134,2.2881631,111.830225
818,938,TANG CITY HOTEL,"No. 95 - 97, Jalan Sultan, 50000 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2070 2823,3,119,3.1445642,101.6987463
819,939,TANG DYNASTY,"1-1, Lorong Plaza Wawasan, Coastal Highway, 88000 Kota Kinabalu",Sabah,088-788555,3,98,5.9736583,116.0689093
820,940,TANG DYNASTY PARK HOTEL,"TL 147, Jalan Belia, 88000 Kota Kinabalu",Sabah,088-222 999,3,91,5.9647537,116.0708812
821,941,TANJONG DEMONG BEACH RESORT,"Lot 25, Tanjong Demong, Jalan Bukit Keluang, 22200 Besut",Terengganu,09-6955500,3,65,5.8114904,102.5906787
822,942,TANJONG MALIM BUDGET HOTEL,"No. 1, Tingkat Atas, Jalan Setia 1, Taman Intan Setia, 35900 Tanjung Malim",Perak,05-235 7895,3,144,3.7032279,101.5075243
823,943,TANJUNG PUTERI GOLF RESORT,"PTD 101446, Jalan Mukim, Off Jalan Plentong, 81700 Johor Bahru",Johor,07-2711888,3,139,1.494907,103.9376021
824,944,TC INN,"No. 17  19, Jalan Serdang Perdana 2/9, Seksyen 2, 43300 Seri Kembangan",Selangor,07-268 7406 ,3,99,3.0288751,101.710705
825,945,TD PLAZA HOTEL,"Tingkat 4-6, Wisma San Hin, Plaza Wawasan, Lorong Plaza, 88000 Kota Kinabalu",Sabah,088-263389,3,106,5.9738742,116.0681246
826,946,TELANG USAN HOTEL,"Lot 340-345, Ban Hock Road, 93100 Kuching",Sarawak,082-415588,3,143,1.553342,110.350347
827,947,"TELANG USAN HOTEL, MIRI","Lot 2431, Blok 1, Dynasty Centre, Miri Bintulu Road, 98008 Miri",Sarawak,082-415588,3,101,4.3451372,113.9912863
828,948,TEMASEK HOTEL,"NO.57 JALAN D039ALBUQUERQUE, POTUGUESE SETTLEMENT, UJONG PASIR",Melaka,06-288 3588,3,130,2.1891264,102.2726758
829,949,TERATAK NALYS ECO RESORT  EQUESTRIAN,"No Lot 169 Jalan Hulu Tamu, Perkampungan Orang Asli ,44300 Mukim Batang Kali",Selangor,013-3423080,3,74,3.4638601,101.6969848
830,950,TERRA NOVA HOTEL ,"No. 29, Jalan KSB 11 Taman Kota Syahbandar 75200 Melaka Tengah ",Melaka,06-288 0000,3,130,2.1948811,102.235895
831,951,TH HOTEL KOTA KINABALU,"Jalan Sembulan, Peti Surat 12908, 88832 Kota Kinabalu",Sabah,088-230 777,3,112,5.9616703,116.0645917
832,952,THE 5 ELEMENTS HOTEL,"LOT 243-245, KOMPLEKS SELANGOR, JALAN SULTAN 50000 ",Wilayah Persekutuan Kuala Lumpur,03-2032 3811,3,60,3.1436753,101.6987959
833,953,THE ASTON NILAI,"PT 7182, Jalan BBN 1/2E, Bandar Baru Nilai,71800 Nilai",Negeri Sembilan,06-799 8888,3,112,2.8133401,101.7922032
834,954,THE EMPEROR HOTEL MALACCA,"123, JALAN MUNSHI ABDULLAH,75100",Melaka,06-2840777,3,113,2.199877,102.254166
835,955,THE EXECUTIVE HOTEL,"TL 239-240, No. 0851  0852, Jalan Teratai, 91100 Lahad Datu",Sabah,089-881333,3,85,5.0228963,118.3289365
836,956,THE EXPLORER HOTEL,"No.1, Jalan Plaza Merdeka, Plaza Merdeka, 75000 Melaka",Melaka,06-288 2668 / 2662,3,50,2.1900681,102.2486391
837,957,THE KLAGAN HOTEL,"GROUND FLOOR, UNIT 25-28, BLOCK D, WARISAN SQUARE 88000 KOTA KINABALU",Sabah,088-488 908,3,69,5.9784634,116.0711732
838,958,THE KUALA LUMPUR JOURNAL HOTEL,"30, JALA BEREMI, BUKIT BINTANG,50200",Wilayah Persekutuan Kuala Lumpur,03-21102211,3,57,3.1481883,101.7103433
839,959,THE LAKEHOUSE CAMERON HIGHLANDS,"Batu 30th Ringlet, 39200 Cameron Highlands",Pahang,05-4956152,3,111,4.4176369,101.3714748
840,960,THE LANAI LANGKAWI,"Jalan Pantai Tengah, Mukim Kedawang, 07000 Langkawi",Kedah,04-955 2262,3,51,6.288014,99.734787
841,961,THE LIMETREE HOTEL,"Lot 317, Section 50 KTLD, Jalan Abell, 93100 Kuching",Sarawak,082-414600,3,121,1.5555542,110.3570709
842,962,THE MAPLE SUITE,"No 1, Jalan Changkat Raja Chulan, 50200 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2026 3333,3,133,3.1496329,101.7050058
843,963,THE ORIENT STAR RESORT LUMUT,"Lot 203  366, Jalan Iskandar Shah, 32200 Lumut",Perak,05-683 4199,3,99,4.2201423,100.6443486
844,964,THE OSBORNE APARTMENTS,"58, Jalan Dato Tahwil Azhar,30330",Perak,05-2438333,3,66,4.5952481,101.0843193
845,965,THE PAVILION HOTEL,"Lot A3, Bandar Lubuk Jaya, Batu 7, Jalan Lubuk, 90000 Sandakan",Sabah,089-222626,3,103,5.839444,118.1171729
846,966,THE PLAZA HOTEL KUALA LUMPUR,"Jalan Raja Laut, 50350 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2692 9822,3,88,3.1623577,101.6956965
847,967,THE PULAI DESARU BEACH,"Bandar Penawar, 81900 Kota Tinggi",Johor,07-8222222,3,126,1.5646399,104.2451393
848,968,THE REGENCY ALOR SETAR,"LOT 134-141, JALAN SULTAN BADLISHAH 05000 ALOR SETAR",Kedah,04-733 5917,3,80,6.1183237,100.3681396
849,969,THE REGENCY HOTEL KUALA LUMPUR,"No 3, Jalan Raja Alang, 50300 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2262 2000,3,54,3.1635057,101.6989126
850,970,THE SMITH HOUSE,"LOT 297 BANDAR PADANG MATSIRAT, 07100 KAMPUNG PADANG MATSIRAT",Kedah,04-952 3777,3,65,6.350734,99.7344361
851,971,THE SUMMIT HOTEL BUKIT MERTAJAM,"566, Jalan Arumugam Pillai, 14000 Bukit Mertajam",Pulau Pinang,04-538 6666,3,139,5.4045616,100.4651125
852,972,THE UPPER DECK HOTEL,"No 1, Jalan Lintas, Peti Surat 448, 89058 Kudat",Sabah,088-622 282,3,69,6.8787922,116.8501611
853,973,THE V HOTEL,"No 3, Jln Haji Abdul Rahman,25000 Kuantan",Pahang,09-51 8866,3,67,3.8048539,103.3235139
854,974,THE ZON ALL SUITES RESIDENCES ON THE PARK,"161-D, Jalan Ampang, 50450 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2164 8000,3,71,3.1583368,101.7171935
855,975,THEATRE INN,"Lot 106, Blok 2, Club Road, 95000 Sri Aman",Sarawak,083-323122,3,140,1.1649423,111.3321974
856,976,THEME PARK HOTEL,"Genting Highlands Resort, 69000 Genting Highland",Pahang,03-6101 1118,3,99,3.4235583,101.7916268
857,977,THY EXECUTIVE HOTEL,"No 2, Jalan Mutiara 1, Tmn Perindustrian Plentong, 81750 Johor Bahru",Johor,07-353 2888,3,50,1.5281738,103.8178509
858,978,TIMEZ MODERN HERITAGE HOTEL,"NO. 31, JALAN HANG KASTURI, 75200",Melaka,06-281 2109,3,139,2.195953,102.247647
859,979,TNB PUTERI RESORT,"KONDOMINIUM PERANGINAN TNB, KM16, JALAN PANTAI TELOK KEMANG, 71050 SI RUSA",Negeri Sembilan,06-662 8588,3,69,2.432437,101.8585542
860,980,TOP HOLIDAY HOTEL,"TINGKAT 3  4, PUSAT PERDAGANGAN MINES, JALAN MINES RESORT CITY, 43300 SERI KEMBANGAN",Selangor,03-6277 2288,3,116,3.0285941,101.719161
861,981,TOWNVIEW HOTEL,"60, Jalan Sisi, 84000 Muar",Johor,06-951 1788,3,95,2.0446658,102.5673417
862,982,TRAVELODGE GEORGETOWN,"101, Jalan Macalister, 10400 Georgetown",Pulau Pinang,04-226 0084,3,126,5.4164743,100.3228426
863,983,TROPICAL INN,"Johor Tower, 15 Jalan Gereja 80100, 80100 Johor Bahru",Johor,07-2247888,3,74,1.465697,103.760316
864,984,TUNE HOTEL KLIA 2,"LOT PT13, JALAN KLIA 2/2 ",Selangor,03-8787 1720,3,57,2.7636557,101.6950425
865,985,TUNE HOTEL PWTC,"61, JALAN PUTRA, 50350",Wilayah Persekutuan Kuala Lumpur,03-4043 3881,3,135,3.1668865,101.6958438
866,986,TWIN STAR HOTEL,"NO 73A  74A, JALAN INTAN SETIA, TAMAN INTAN SETIA, 35900 TANJUNG MALIM",Perak,012-6354901,3,106,3.696428,101.5137359
867,987,ULEK BEACH RESORT,"Jalan Pantai Sura Hujung, 23000 Dungun",Terengganu,09-848 1100/2211,3,129,4.7336845,103.4306658
868,988,UNCLE CHANG039S SIPADAN MABUL DIVE LODGE,"PT 2008, 120169, Pulau Mabul P/S 37, 91307 Semporna ",Sabah,089-781002,3,67,4.479391,118.611545
869,989,UPTOWN HOTEL KAJANG,"Lot 1  2, 1st Floor, Jalan Jelok 6, Metropoint, 43000 Kajang",Selangor,03-87362662,3,116,2.9914057,101.7931405
870,990,V8 HOTEL,"No 2, Jalan Jati 2, Taman Nusa Bestari Jaya, 81300 Skudai",Johor,07-555 2888,3,63,1.4986922,103.6568035
871,991,VALLEY HOTEL,"Lot 52, Tingkat Bawah Bandaran Berjaya, 88000 Kota Kinabalu",Sabah,088-224699,3,57,5.977023,116.0763001
872,992,VICTORIA GARDEN HOTEL,280 Lebuh Victoria 10300 Georgetown,Pulau Pinang,04-217 0900,3,50,5.4152352,100.3416212
873,993,VICTORIA HOTEL,"UO360, Jalan Tun Mustapha , 87020 Labuan",Wilayah Persekutuan Labuan,087-412411,3,122,5.2781736,115.243783
874,994,VICTORIA INN,"No. 80, Market Road, 96000 Sibu",Sarawak,084-320 099,3,50,2.3556865,111.9522491
875,995,VICTORIA INN,"Lot 1306, Jalan Kim Hin, 95400 Saratok",Sarawak,083-437686,3,87,1.7515744,111.3405547
876,996,VICTORIA INN,"No 80, Market Road 96000 Sibu Sarawak",Sarawak,+60 84-320 099,3,99,2.3556865,111.9522491
877,997,VIENNA INN,"No 190, Ujong Pasir,75050 Melaka Tengah",Melaka,06-2828363,3,71,2.1875882,102.2701495
878,998,VIP HOTEL ,"Batu 1, Jalan Buloh Kasap, 85000, Segamat",Johor,07-931 2101,3,132,2.5585292,102.7464849
879,999,VREST HOTEL,"6, JALAN KL 3/11, TAMAN KOTA LAKSAMANA, SEKSYEN 3, 75200",Melaka,06-288 1666,3,51,2.1914915,102.2429826
